dbcellid,x,y,z,goog14r0seg1_baseid,google_aggloid,dbcelltype,dbsubcelltype,dbsubcelltype2,dbsubcelltype3,nrvoxels,circulardepth
36922,204558,206856,2432,32132757502,41085375890,ASTROCYTE,0,0,0,315,2238
2591,161970,160947,2432,39570026510,39613653489,OLIGO,0,0,0,60,2097
10302,285975,219219,2432,50390153616,50390168171,OLIGO,0,0,0,60,1788
10561,272802,240199,2432,42223071220,51088461484,OLIGO,0,0,0,60,1960
28545,143343,257318,2432,34052220288,51666398160,MG_OPC,0,0,0,60,2857
32599,86016,216855,2432,41445320623,41459893632,OLIGO,0,0,0,60,2628
34789,164316,271659,2432,43296727465,43311269186,OLIGO,0,0,0,60,2832
20283,290140,97611,2432,19965700570,37448909412,ASTROCYTE,0,0,0,316,1129
3483,210418,140655,2432,38960185382,47767332144,OLIGO,0,0,0,61,1781
5554,143426,164311,2432,39656768891,48551173016,OLIGO,0,0,0,61,2168
6917,161453,172154,2432,39963128185,48813801077,OLIGO,0,0,0,61,2182
9648,314262,206396,2432,41074571090,49968944838,OLIGO,0,0,0,61,1541
10727,198166,268514,2432,52032167500,52032182575,OLIGO,0,0,0,61,2594
12440,201058,217338,2432,41492787751,50329078001,OLIGO,0,0,0,61,2319
19741,336622,218137,2432,32748424011,41526501346,OLIGO,0,0,0,61,1423
31914,136168,270391,2432,43223006213,52088338213,OLIGO,0,0,0,61,2976
47730,83355,190690,2432,40542670595,40630073326,OLIGO,0,0,0,61,2417
35142,101365,192334,2432,31969212632,40615938566,INTERNEURON,0,0,512,573,2439
21445,373315,208444,2432,5323670993,41018604581,PYRAMIDAL,0,0,0,829,1123
17748,184243,262382,2432,43006254922,51827900226,OLIGO,0,0,0,62,2660
32150,164494,211088,2432,41258703930,41302376342,MG_OPC,0,0,0,62,2453
47622,122875,167346,2432,39816154501,39816154501,OLIGO,0,0,0,62,2226
11906,289376,149463,2432,21392349419,39224887694,ASTROCYTE,0,0,0,318,1434
13917,396990,220429,2432,32619716022,41499561806,INTERNEURON,0,0,0,830,981
4415,231372,217487,2432,41464768099,50330071384,OLIGO,0,0,0,63,2142
5274,150072,176440,2432,39962720026,39962720043,OLIGO,0,0,0,63,2246
8414,265304,135689,2432,3660939367,47594486150,OLIGO,0,0,0,63,1489
10738,190714,272657,2432,43326716876,43326716876,OLIGO,0,0,0,63,2662
28628,141607,264305,2432,43063037983,43063037983,OLIGO,0,0,0,63,2911
31936,132506,268930,2432,43179187732,43208316474,OLIGO,0,0,0,63,2982
48020,216080,265850,2432,43050991186,43109206437,OLIGO,0,0,0,63,2458
48166,100848,191651,2432,40630642594,49466845194,OLIGO,0,0,0,63,2433
48887,233174,140543,2432,38946431860,38946431864,BLOODVESSELCELL,0,0,0,63,1680
6604,207927,169893,2432,31099124178,48742577217,OLIGO,0,0,0,64,1988
14966,294961,140942,2432,38846692504,47784707694,OLIGO,0,0,0,64,1355
29775,123918,252347,2432,42596608028,42669424358,OLIGO,0,0,0,64,2888
35556,391049,85719,2432,37015552275,37015552275,INTERNEURON,128,0,0,320,486
19328,372735,142526,2432,3329407633,38849028620,PYRAMIDAL,0,0,0,832,875
19511,199408,223346,2432,41594658873,50532820068,OLIGO,0,0,0,65,2363
28350,140611,227770,2432,41840202940,41840218576,OLIGO,0,0,0,65,2657
